,no,lat,lng,cluster,order
244,245,3.141141,101.737405,3,0
245,246,3.082689,101.661855,12,0
246,247,3.146348,101.73362,3,0
247,248,3.082403,101.665805,12,0
248,249,3.156682,101.709233,9,0
249,250,3.164383,101.692761,0,0
250,251,3.148659,101.707035,9,0
251,252,3.099368,101.687098,6,0
252,253,3.162985,101.651516,11,0
253,254,3.091506,101.676887,6,0
254,255,3.091506,101.676887,6,0
255,256,3.091506,101.676887,6,0
256,257,3.158324,101.705323,0,0
257,258,3.115197,101.689642,14,0
258,259,3.102885,101.661958,4,0
259,260,3.091506,101.676887,6,0
260,261,3.063331,101.670035,1,0
261,262,3.091506,101.676887,12,0
262,263,3.066465,101.686803,8,0
263,264,3.148665,101.659223,15,0
264,265,3.159679,101.643997,11,0
265,266,3.104931,101.677124,14,0
266,267,3.104931,101.677124,14,0
267,268,3.104931,101.677124,14,0
268,269,3.169135,101.655629,2,0
269,270,3.081706,101.688023,8,0
270,271,3.152568,101.661538,15,0
271,272,3.139042,101.660873,15,0
272,273,3.104931,101.677124,14,0
273,274,3.06654,101.66884,1,0
274,275,3.135428,101.741466,7,0
275,276,3.126016,101.749129,7,0
276,277,3.10671,101.671171,14,0
277,278,3.149417,101.737107,3,0
278,279,3.149417,101.737107,3,0
279,280,3.052501,101.67963,5,0
280,281,3.156158,101.710743,9,0
281,282,3.164323,101.692679,0,0
282,283,3.124073,101.669556,10,0
283,284,3.12923,101.682179,10,0
284,285,3.142781,101.735731,3,0
285,286,3.133749,101.687513,10,0
286,287,3.150783,101.708697,9,0
287,288,3.122532,101.718994,13,0
288,289,3.152029,101.738007,3,0
289,290,3.075264,101.673589,12,0
290,291,3.141141,101.737405,3,0
291,292,3.129626,101.670946,10,0
292,293,3.104931,101.677124,14,0
293,294,3.075264,101.673589,12,0
294,295,3.051348,101.687594,5,0
295,296,3.095708,101.687775,6,0
296,297,3.075264,101.673589,12,0
297,298,3.075264,101.673589,12,0
298,299,3.052265,101.673254,5,0
299,300,3.075264,101.673589,12,0
300,301,3.108874,101.678099,14,0
301,302,3.170748,101.65937,2,0
302,303,3.168074,101.693663,0,0
303,304,3.065779,101.699786,8,0
304,305,3.056255,101.666065,5,0
305,306,3.070488,101.657498,1,0
306,307,3.050131,101.684352,5,0
307,308,3.100257,101.673939,14,0
308,309,3.072058,101.661818,1,0
309,310,3.124073,101.669556,10,0
310,311,3.153223,101.715675,9,0
311,312,3.101142,101.676271,14,0
312,313,3.171339,101.710138,0,0
313,314,3.170748,101.65937,2,0
314,315,3.16815,101.652654,11,0
315,316,3.06172,101.66564,1,0
316,317,3.084896,101.678511,12,0
317,318,3.169908,101.664587,2,0
318,319,3.105737,101.686426,6,0
